snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,DEVENY COMMENT,WiFeS Spectrum of transient,Following up with time-series spectroscopy,WiFeS Host Spectrum (after SN has faded from view),Classification Comment,Get With DeVenny,Host Name ,Host Redshift,Separation [arcmin] ,Host Mag,Host Mag Filter,Host Name 2,Host Redshift 2,Separation 2 [arcmin],Host Mag 2,Host Mag Filter 2,Host Name 3,Host Redshift 3,Separation 3 [arcmin],Host Mag 3,Host Mag Filter 3,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,discovery date,first obs date,Class Group,Comment.1,set date,estimated peak,Days since Peak,link
2021cyn,20.45,0.06,g-ZTF,FINISHED,spec ia,YES,36,123.4545647,-12.1159861,,,,,Reduced z=0.0549 (qop=4),,,WISEA J081348.85-120658.8,0.04441,0.046,15,I,,,,,,,,,,,99.0,"1,259",ZTF,,415.A.a,0.0819,Elliptical?,2021-02-09 6:34:34,2021-02-19,ZTF,,,,,
2021hjc,18.81,0.05369,r-ZTF,FINISHED,spec ia,YES,10,141.3886776,-24.7649249,,,,,Observed,,,WISEA J092533.21-244552.5,0.053694,0.028,14.5,I,,,,,,,,,,,99.0,"1,210",ZTF,,?,0.0766,?,2021-03-30 5:32:38,2021-03-30,?,,,,,
2021grd,18.7988,0.053447,r-ZTF,FINISHED,spec Ia,YES,11,129.4269574,-11.1879023,,,,,,,,WISEA J083742.46-111117.5,0.053447,0.028,16.31,,,,,,,,,,,,99.0,"1,222",ZTF,,?,0.0423,Elliptical,2021-03-18 5:17:47,2021-03-21,?,,,,,
2021fna,19.135,0.079,orange-ATLAS,FINISHED,spec ia,YES,9,154.0947855,-23.1994468,,,,,,,YES,WISEA J101622.90-231159.4,0.086183,0.047,-,-,,,,,,,,,,,99.0,"1,226",ATLAS,,?,0.0555,Elliptical,2021-03-14 8:15:22,2021-03-23,ePESSTO+,,,,,
2021gkb,19.5326,0.06939,g-ZTF,FINISHED,spec ia,NO,30,164.4807248,-13.7907718,,,,,Observed,,,WISEA J105755.42-134727.2,0.069395,0.02,16.31,-,,,,,,,,,,,99.0,"1,221",ZTF,,?,0.0399,Elliptical,2021-03-19 6:33:13,2021-03-24,ZTF,,,,,
2021fxy,16.9,0.0094,Clear-,FINISHED,spec ia,YES,34,198.2565721,-19.51251762,,,,,,,,NGC 5018,0.009393,0.361,11.2,B,,,,,,,,,,,99.0,"1,222",NONE?,,423.E.a.2021fxy,0.0817,Elliptical,2021-03-17 17:23:37,2021-03-21,SIRAH,,,,,
2021foh,18.2,0.022,orange-ATLAS,FINISHED,spec ia,NO,41,200.1703818,-17.10931636,,,,,,,YES,CLEAR HOST BUT NOT IN NED,-,,,,,,,,,,,,,,99.0,"1,225",ATLAS,,?,0.0745,Elliptical,2021-03-15 10:50:53,2021-03-23,ePESSTO+,,,,,
2021fof,18.35,0.04,orange-ATLAS,FINISHED,spec ia,NO,17,212.0533103,-8.832710317,,,,,,,YES,Not avaliable ,-,,,,,,,,,,,,,,99.0,"1,225",ATLAS,,?,0.0351,Elliptical,2021-03-15 11:58:34,2021-03-21,SCAT,,,,,
2021gwn,18.031,0.048,orange-ATLAS,FINISHED,spec ia,YES,48,161.79996,-29.38623,,,,,,,,WISEA J104712.11-292310.8,0.059331,0.041,16.3,b,,,,,,,,,,,99.0,"1,218",ATLAS,,?,0.0608,Elliptical,2021-03-22 10:04:48,2021-03-27,SCAT,,,,,
2021hup,18.78,0.049,g-ZTF,FINISHED,spec ia,NO,5,178.5248434,-6.6015876,,,,,,,YES,LCRS B115132.4-061924,-,0.027,17.21,-,,,,,,,,,,,99.0,"1,208",ZTF,,,0.0288,Elliptical,2021-04-01,2021-04-08,ZTF,,,,,
2021ipf,19.581,0.055735,g-ZTF,FINISHED,spec ia,NO,40,174.460788,-7.228356,,,,,,,,WISEA J113750.66-071339.4,0.055735,0.027,16.46,-,,,,,,,,,,,99.0,"1,203",ZTF,,,0.0242,Elliptical,2021-04-06,2021-04-08,ePESSTO+,,,,,
2021hwk,18.9903,0.041,r-ZTF,FINISHED,spec ia,NO,11,214.7613339,-7.3905934,,,,,,,YES,LEDA 1019808,-,0.033,16.94,-,,,,,,,,,,,99.0,"1,206",ZTF,,,0.041,Elliptical,2021-04-03,2021-04-08,ePESSTO+,,,,,
2021ill,19.242,0.056,cyan-ATLAS,FINISHED,spec ia,YES,29,139.938917,-30.877989,,,,,,,YES,2MFGC 07241,-,0.004,13.7,K,,,,,,,,,,,99.0,"1,202",ATLAS,,,0.1489,Elliptical?,2021-04-07 7:29:17,2021-04-11,ePESSTO+,,,,,
2021ify,20.4655,0.056,r-ZTF,YES,spec ia,NO,27,261.7237293,13.17884771,,,,,,,YES,WISEA J172652.60+131037.8,0.073684,0.276,-,,,,,,,,,,,,99.0,"1,206",ZTF,,,0.1278,Elliptical,2021-04-03 11:06:15,2021-04-11,ePESSTO+,,,,,
2021iov,19.297,0.053944,cyan-ATLAS,FINISHED,spec ia,YES,34,141.6618652,-7.087174,,,,,,,,WISEA J092638.51-070514.7,0.053944,0.085,15.7,R,,,,,,,,,,,99.0,"1,201",ATLAS,,,0.0331,Spiral,2021-04-08 7:58:05,2021-04-14,ZTF,,,,,
2021jad,15.419,0.0055,cyan-ATLAS,FINISHED,spec ia,YES,36,83.342405,-21.95181813,,,,,,,,NGC 1964,0.00554,0.377,11.58,-,,,,,,,,,,,99.0,"1,198",ATLAS,,257.B.a,0.0298,Spiral,2021-04-11 5:36:58,2021-04-12,ePESSTO+,,,,,
2021jap,20.5412,0.03,g-ZTF,FINISHED,spec ia,NO,6,163.7665753,-8.7458692,,,,,Observed,,YES,LEDA 999713,,,20.5412,-,,,,,,,,,,,99.0,"1,200",ZTF,,,0.0336,Elliptical,2021-04-09 5:33:53,2021-04-14,ZTF,,,,,
2021juw,18.59,0.039,G-Gaia,FINISHED,spec ia,YES,33,296.771708,-20.2032,,,,,,,,ESO 594- G 016,0.039244,0.144,14.3,R,,,,,,,,,,,99.0,"1,196",GaiaAlerts,,,0.0747,Elliptical,2021-04-12 14:58:34,2021-04-17,ePESSTO+,,,,,
2021jze,19.19,0.0471,g-Sloan,FINISHED,spec ia,NO,10,154.972375,-3.7354,,,,,,,,WISEA J101952.89-034405.8,0.046455,0.093,15.05,-,,,,,,,,,,,99.0,"1,193",Pan-STARRS1,,418.A.a,0.0381,Elliptical?,2021-04-16 6:02:53,2021-04-21,UCSC,,,,,
2021khn,19.247,0.072,orange-ATLAS,FINISHED,spec ia,NO,5,195.7992455,-6.663225455,,,,,,,YES,LCRS B130036.3-062348,-,0.132,17.9,-,,,,,,,,,,,99.0,"1,190",ATLAS,,,0.0335,Elliptical,2021-04-19 9:40:19,2021-04-27,TCD,,,,,
2021knh,18.445,0.03,g-ZTF,FINISHED,spec ia,YES,40,137.5359706,-27.62405638,,,,,,,,not avaliable ,-,,,,,,,,,,,,,,99.0,"1,184",ZTF,,,0.1271,Elliptical,2021-04-25 4:04:12,2021-04-28,?,,,,,
2021koq,17.84,0.020538,orange-ATLAS,YES,spec ia,NO,17,274.0042325,6.7517646,,,,,Observed,,,UGC 11177,0.020534,0.504,13.7,-,,,,,,,,,,,99.0,"1,184",ATLAS,,,0.1804,Elliptical,2021-04-25 7:27:56,2021-05-01,?,,,,,
2021kre,18.9832,0.07692,g-ZTF,FINISHED,spec ia,NO,6,206.2201375,-7.1171167,,,,,,,,WISEA J134452.28-070706.0,0.07692,0.156,17.33,-,,,,,,,,,,,99.0,"1,179",ZTF,,,0.0323,Elliptical,2021-04-30 5:06:45,2021-05-05,?,,,,,
2021lnf,18.34,0.038934,r-ZTF,FINISHED,spec ia,YES,37,144.5076958,-16.8587639,,,,,Observed,,,WISEA J093801.78-165133.0,0.038934,0.037,16.3,-,,,,,,,,,,,99.0,"1,175",ZTF,,365.A,0.0608,Elliptical i guess,2021-05-04 3:59:02,2021-05-08,ZTF,,,,,
2021yzz,19.29,0.0533,g-ZTF,YES,spec ia,NO,53,331.1591875,-20.2386222,,,SN Ia at z=0.0533,,,,,WISEA J220437.98-201418.3,0.053277,0.041,17.5,-,,,,,,,,,,,99.0,"1,043",ZTF,,-,0.0241,Elliptical,2021-09-13 8:41:14,2021-09-16,none,,,,,
2021yuj,19.277,0.047563,r-ZTF,FINISHED,spec ia,NO,39,298.3817875,-22.7994944,setting,,SN Ia at z=0.0477,,,,,ESO 526- G 013,0.047563,0.256,15,R,,,,,,,,,,,99.0,"1,043",ZTF,,-,0.1005,Spiral ,2021-09-13 4:01:55,2021-09-19,ePESSTO+,,,,,
2021ypa,19.99,0.03438,g-ZTF,FINISHED,spec ia,NO,21,68.9090708,-13.2230667,,,SN Ia at z=0.0348,,Reduced,,,WISEA J043538.20-131323.3,0.03438,0.01,16.9,-,,,,,,,,,,,99.0,"1,047",ZTF,,-,0.1234,Elliptical ,2021-09-09 10:35:53,2021-09-16,ePESSTO+,,,,,
2021ywa,19.51,0.06744,g-ZTF,FINISHED,spec ia,NO,40,57.8525375,-17.3287417,,,SN Ia at z=0.0678,,,,,WISEA J035124.32-171944.0,0.06744,0.077,16.71,-,,,,,,,,,,,99.0,"1,044",ZTF,,-,0.0468,Elliptical,2021-09-12 11:34:33,2021-09-16,ZTF,,,,,
2021ymn,19.3,0.051,g-ZTF,FINISHED,spec ia,NO,33,77.7731125,-17.9236833,,,SN Ia at z-0.0506,,Reduced,,,WISEA J051106.30-175527.8,0.050849,0.171,15.3,R,,,,,,,,,,,99.0,"1,046",ZTF,,-,0.0429,Spiral ,2021-09-10 11:04:58,2021-09-16,ePESSTO+,,,,,
2021zqo,18.51,0.067,r-ZTF,FINISHED,spec ia,NO,42,44.775275,-18.671425,,,,,,,YES,GALEXASC J025906.09-184017.1,-,0.046,19.11,-,,,,,,,,,,,99.0,"1,029",ZTF,,-,0.0276,Elliptical,2021-09-27 8:02:24,2021-10-01,ZTF,,,,,
2021aabw,18.572,0.032,orange-ATLAS,FINISHED,spec ia,NO,8,82.409425,-23.9926389,,,,,,,,WISEA J052937.97-235938.6,0.032336,0.115,14.4,I,,,,,,,,,,,99.0,"1,025",ATLAS,,-,0.0356,Spiral,2021-09-30 12:57:36,2021-10-04,ePESSTO+	,,,,,
2021aazj,19.89,0.062,r-ZTF,FINISHED,spec ia,NO,19,74.1835958,-16.6487833,,,SN Ia at z=0.0725,,,,,WISEA J045644.41-163856.7,0.052194,0.091,-,-,WISEA J045641.02-163810.1,0.055812,1.051,16.8,b,,,,,,99.0,"1,024",ZTF,,-,0.0829,Elliptical,2021-10-02 10:30:43,2021-10-10,ZTF,,,,,
2021abds,21.71,0.07,w-P1,FINISHED,spec ia,NO,3,356.7795,-15.5336944,,,,,"Reduced, no z",,YES,WISEA J234702.75-153219.6,-,1.088,20.15,-,WISEA J234709.36-153320.0,-,1.418,18.64,-,,,,,,99.0,"1,023",Pan-STARRS1,,-,0.0245,Elliptical?,2021-10-03 7:04:48,2021-10-13,ePESSTO+	,,,,,
2021abiu,18.9464,0.054,g-ZTF,FINISHED,spec ia,NO,60,119.1854292,-2.9945333,,,,,,,,WISEA J075644.15-025937.5,0.053934,0.099,16.11,-,,,,,,,,,,,99.0,"1,013",ZTF,,-,0.0348,Elliptical,2021-10-13 11:30:16,2021-10-16,ePESSTO+	,,,,,
2021aceo,18.566,0.048,orange-ATLAS,FINISHED,spec ia,NO,7,136.3544458,-7.8145278,,,,,Observed,,YES,not available,-,,,,,,,,,,,,,,99.0,"1,000",ATLAS,,-,0.0478,Spiral,2021-10-25 14:39:50,2021-10-31,ePESSTO+	,,,,,
2021abam,19.3978,0.049,g-ZTF,FINISHED,spec ia,NO,,17.05106602,-19.78996421,THIS IS IN YSE FIELD,,,,"Reduced, z=0.0521",,,WISEA J010812.21-194723.2,0.084442,0.012,16.1,r,,,,,,,,,,,99.0,"1,016",ZTF,,,0.0156,Elliptical,2021-10-10 8:31:37,,,,,,,
2021acnx,18.762,0.029,orange-ATLAS,FINISHED,spec ia,NO,36,70.57395,6.8758417,bright star nearby. reduce exposure time.,,,,Observed,,,not available,-,,,,,,,,,,,,,,99.0,999,ATLAS,,-,0.1267,Elliptical?,2021-10-27 11:13:55,2021-10-3,ZTF,,,,,
2021acxb,20.77,0.0641,w-P1,FINISHED,spec ia,NO,26,49.9027958,-27.4940333,elliptical,,SN Ia at z=0.0641,,,,,WISEA J031937.18-272947.5,0.063871,0.191,16.22,-,,,,,,,,,,,99.0,996,Pan-STARRS1,,-,0.0334,Elliptical,2021-10-30 10:46:34,2021-11-03,DEbass,,,,,
2021acnt,17.358,0.008,orange-ATLAS,FINISHED,spec ia,NO,4,145.4285,-28.2024889,z=.008,,,,,,,WISEA J094141.41-281248.8,0.008449,0.672,14.5,-,,,,,,,,,,,99.0,999,ATLAS,,,0.0947,Elliptical,2021-10-26 14:52:48,2021-11-06,ePESSTO+	,,,,,
2021adlt,18.782,0.021,cyan-ATLAS,FINISHED,spec ia,NO,38,69.7994958,6.3734389,,,SN Ia at z=0.0227,,Observed,,,WISEA J043911.64+062221.2,0.02495,0.074,13.48,-,,,,,,,,,,,99.0,991,ATLAS,,-,0.134,Elliptical,2021-11-04 11:34:05,2021-11-09,ePESSTO+,,,,,
2021adug,21.29,0.0735,w-P1,FINISHED,spec ia,NO,51,13.5491042,-14.9698444,barely caught,,SN Ia at z=0.0735,,,,YES,WISEA J005412.25-145810.4,-,0.119,18.43,-,,,,,,,,,,,99.0,989,Pan-STARRS1,,,0.0202,Elliptical,2021-11-06 6:14:24,2021-11-16,DEbass,,,,,
2021aeca,19.0776,0.052,g-ZTF,FINISHED,spec ia,NO,50,124.6304333,-14.7222833,barely caught (-1.7)?,,,,,,,WISEA J081831.26-144319.0,0.048137,0.044,15.3,R,,,,,,,,,,,99.0,986,ZTF,,,0.061,Elliptical,2021-11-09 11:32:48,2021-11-16,ZTF,,,,,
2021aexy,18.41,0.039,g-ZTF,FINISHED,spec ia,NO,4,48.9743625,-23.0448222,-1.8,,SN Ia at z=0.0448,,,,YES,APMUKS(BJ) B031342.20-231338.4,-,0.168,19.07,-,,,,,,,,,,,99.0,976,ZTF,,,0.0151,Spiral?,2021-11-19 6:33:07,2021-11-27,ePESSTO+,,,,,
2021afeb,19.9,0.0553,i-Sloan,FINISHED,spec ia,NO,21,15.068499,-15.2983343,,,,,,,,MCG -03-03-017,0.055261,0.147,15.28,-,,,,,,,,,,,99.0,973,Pan-STARRS1,,,0.0181,Elliptical,2021-11-22 6:02:53,2021-11-27,UCSC,,,,,
2021afue,18.85,0.04223,r-ZTF,FINISHED,spec ia,NO,41,154.4560625,-7.4067611,,,,,Observed,,,WISEA J101749.01-072422.4,0.042226,0.112,14.9,R,2MASX J10174903-0724226,0.04223,0.112,16.13,-,,,,,,99.0,963,ZTF,,,0.0375,Elliptical,2021-12-02 9:36:00,2021-12-03,ZTF,,,,,
2022hrs,15.0,0.0047,Clear-,FINISHED,spec ia,NO,11,190.8930625,11.5766306,14th mag,,SN Ia at 0.02641,,,,,NGC 4647,0.0047,0.588,11.94,-,,,,,,,,,,,99.0,827,ZTF,,,0.0226,Spiral,2022-04-16 14:50:40,2022-04-20,ZTF,,,,,
2022hqs,19.4337,0.026,r-ZTF,FINISHED,spec ia,NO,33,165.4670625,-12.4880444,,,,,,,,MCG -02-28-040,0.026031,0.296,15,-,,,,,,,,,,,99.0,833,ZTF,,,0.0317,Elliptical,2022-04-11 6:00:19,2022-04-20,ZTF,,,,,
2022iem,18.852,0.062591,orange-ATLAS,FINISHED,spec ia,NO,50,262.7129792,5.866225,,,,,,,,WISEA J173051.50+055206.1,0.062591,0.173,-,-,,,,,,,,,,,99.0,820,ATLAS,,,0.1022,Elliptical?,2022-04-23 12:42:55,2022-06-07,ZTF,,,,,
2022jmr,18.464,0.04,orange-ATLAS,FINISHED,spec ia,NO,41,315.0588917,-24.1144667,,,,,,,YES,WISEA J210014.19-240645.2,-,0.11,16.2,r,WISEA J210014.46-240614.6,-,0.648,16.6,r,,,,,,99.0,807,ATLAS,,,0.0541,Elliptical,2022-05-07 9:04:15,2022-06-20,ATLAS,,,,,
2022jzb,19.24,0.045291,r-ZTF,FINISHED,spec ia,NO,36,184.09655,-18.5541972,elliptical,,,,,,,WISEA J121623.94-183334.3,0.045291,0.37,15.34,-,,,,,,,,,,,99.0,800,ZTF,,,0.0553,Elliptical,2022-05-14 5:32:38,2022-05-17,ZTF,,,,,
2022kck,19.78,0.046999,g-ZTF,FINISHED,spec ia,NO,13,188.2814292,-14.490175,just get color,,,,,,,WISEA J123307.75-142924.1,0.046999,0.052,16.8,b,,,,,,,,,,,99.0,798,ZTF,,,0.0406,Elliptical,2022-05-16 5:32:38,2022-05-20,ePESSTO+	,,,,,
2022kft,19.3965,0.046,r-ZTF,FINISHED,spec ia,NO,30,174.369025,-10.8982722,just get color,,,,,,,WISEA J113729.69-105422.8,0.045331,0.558,16.48,-,WISEA J113729.93-105303.9,0.076572,0.896,-,-,,,,,,99.0,794,ZTF,,,0.0213,Elliptical ,2022-05-20 4:11:40,2022-05-23,ZTF,,,,,
2022kkg,18.5797,0.04144,r-ZTF,YES,spec ia,NO,58,305.8165625,20.2161,elliptical,,,,Observed,,,WISEA J202316.49+201301.4,0.04144,0.132,-,-,,,,,,,,,,,99.0,792,ZTF,,,0.1704,Elliptical ,2022-05-22 10:21:12,2022-05-23,ePESSTO+	,,,,,
2022kjl,18.36,0.031465,,FINISHED,spec ia,NO,59,210.5093708,-16.540525,,,,,,,,2MFGC 11356,0.031465,0.073,16.26,-,,,,,,,,,,,99.0,792,Pan-STARRS,,,0.0774,Elliptical ,2022-05-22 8:29:34,2022-05-26,SCAT	,,,,,
2022lax,20.0,0.058,,FINISHED,spec ia,NO,27,216.2111917,-8.7529444,,,Unknown at z=?,,,,,not available ,,,,,,,,,,,,,,,99.0,789,ZTF,,,0.0483,Elliptical ,2022-05-25 8:09:36,2022-05-29,Global SN Project,,,,,
2022mvb,18.428,0.02958,orange-ATLAS,FINISHED,spec ia,NO,24,240.5391042,-6.4345278,,,,,,,,WISEA J160209.28-062603.5,0.02958,0.031,15.6,R,,,,,,,,,,,99.0,767,ATLAS,,,0.1679,Elliptical ,2022-06-16 10:01:00,2022-06-18,,,,,,
2022myp,17.527,0.02633,orange-ATLAS,FINISHED,spec ia,NO,40,205.4382875,-25.7934472,elliptical. -7days on Jun19,,,,,,,WISEA J134146.12-254740.3,0.026332,0.222,15.19,-,,,,,,,,,,,99.0,764,ATLAS,,,0.0567,Elliptical ,2022-06-19 1:21:15,2022-07-03,,,,,,
2022nag,18.748,0.020954,g-ZTF,FINISHED,spec ia,NO,57,271.2527167,9.4799583,,,,,,,,CGCG 084-015,0.020954,0.063,15.4,-,,,,,,,,,,,99.0,766,ZTF,,,0.1653,Elliptical ,2022-06-17 7:54:04,2022-06-20,,,,,,
2022nim,20.3653,0.042,g-ZTF,YES,spec ia,NO,52,299.111275,-16.3695694,,,,,Observed,,YES,WISEA J195626.19-162214.8,-,-,-,-,,,,,,,,,,,99.0,762,ZTF,,,0.1874,Elliptical?,2022-06-21 10:34:49,2022-07-03,ZTF,,,,,
2022qbp,19.21,0.05,r-ZTF,FINISHED,spec ia,NO,54,305.6199625,-14.7090861,,,,,,,,not available ,,,,,,,,,,,,,,,99.0,724,ZTF,,,0.0542,Elliptical,2022-07-29 8:05:17,2022-09-12,SCAT,,,,,
2022qwx,18.429,0.024,g-ZTF,FINISHED,spec ia,NO,34,30.5333958,-20.4061,,,,,,,YES,WISEA J020208.00-202427.2,-,0.086,-,-,,,,,,,,,,,99.0,715,ZTF,,,0.0194,Elliptical,2022-08-07 10:30:05,2022-09-13,ZTF,,,,,
2022qsn,19.51,0.064,g-ZTF,FINISHED,spec ia,NO,60,40.74935,-19.1946028,,,,,,,YES,WISEA J024259.80-191140.6,-,0.032,18.61,-,WISEA J024257.26-191150.4,-,0.659,17.48,-,,,,,,,,ZTF,,,0.0287,Elliptical,2022-08-05 11:25:26,2022-09-13,ZTF,,,,,
2022rnu,19.17,0.063,g-ZTF,FINISHED,spec ia,NO,34,25.1810333,-14.4787778,,,,,,,YES,GALEXASC J014042.83-142849.4,-,0.164,18.79,-,,,,,,,,,,,99.0,705,ZTF,,,0.0131,Eliptical?,2022-08-17 11:29:46,2022-09-13,ZTF,,,,,
2022rky,18.34,0.029774,r-ZTF,YES,spec ia,NO,39,318.6212375,-9.0476167,,,,,,,,WISEA J211428.95-090255.6,0.029774,0.079,17.12,-,,,,,,,,,,,99.0,704,ZTF,,,0.1569,Elliptical,2022-08-18 7:22:05,2022-09-12,SCAT,,,,,
2022rfn,17.606,0.029,orange-ATLAS,YES,spec ia,NO,59,287.8707458,-17.1854306,,,,,Observed,,,not available ,,,,,,,,,,,,,,,99.0,709,ATLAS,,,0.1183,far to tell but it looks spiral ,2022-08-13 9:29:33,2022-09-12,ZTF,,,,,
2022sum,20.33,0.046,r-ZTF,FINISHED,spec ia,NO,22,269.7421833,11.0085167,maybe missed peak,,,,,,,not available ,,,,,,,,,,,,,,,99.0,699,ZTF,,,0.1463,too far to tell?,2022-08-23 5:55:41,2022-09-13,ZTF,,,,,
2022taw,18.96,0.07,g-ZTF,FINISHED,spec ia,NO,39,75.2944208,-10.5963167,just get color,,SN Ia at z=0.0685,,,,YES,WISEA J050110.01-103541.4,-,0.163,-,-,,,,,,,,,,,99.0,"9,999",ZTF,,,0.0824,,,,,,,,,
2022ssj,20.08,0.076,g-ZTF,FINISHED,spec ia,NO,16,4.8940333,-17.5794806,-2 days,,,,Observed,,YES,WISEA J001934.68-173446.0,-,0.029,19.01,-,,,,,,,,,,,99.0,694,ZTF,,,0.0319,too far to tell but it looks elliptical,2022-08-28 9:07:12,2022-09-14,ZTF,,,,,
2022tvz,17.976,0.0233,orange-ATLAS,FINISHED,spec ia,NO,6,298.7568833,-21.0992222,,,,,,,,ESO 595- G 003,0.022137,0.183,16.24,,,,,,,,,,,,99.0,681,ATLAS,,,0.1294,Spiral,2022-09-09 20:31:03,2022-09-13,DEbass,,,,,
2022wcy,20.6358,0.067,g-ZTF,FINISHED,spec ia,NO,16,34.155175,10.2525222,-7days,,,,Observed,,,not available ,,,,,,,,,,,,,,,99.0,665,ZTF,,,0.0641,Elliptical ,2022-09-26 10:21:39,2022-10-22,ZTF,,,,,
2022whp,19.152,0.054,cyan-ATLAS,YES,spec ia,NO,27,100.0106667,-22.2957056,,,,,,,,ESO 557- G 011,0.053514,0.327,16.48,-,,,,,,,,,,,99.0,662,ATLAS,,,0.1126,Elliptical ,2022-09-29 1:47:02,2022-10-05,SCAT,,,,,
2022xhd,19.82,0.043,g-ZTF,FINISHED,spec ia,NO,56,54.8841625,-17.6643861,,,,,,,,WISEA J033932.22-173952.6,0.038062,0.019,16.1,-,,,,,,,,,,,99.0,653,ZTF,,,0.0745,Spiral?,2022-10-08 11:29:46,2022-10-16,ePESSTO+,,,,,
2022xxz,18.6,0.06,,FINISHED,spec ia,NO,18,335.1664083,-16.1794889,-4,,,,,,YES,WISEA J222045.01-161122.7,-,1.362,19.76,-,WISEA J222035.14-161135.6,-,1.42,20.09,-,WISEA J222046.47-161031.5,-,1.586,20.42,-,99.0,645,ATLAS,,,0.0303,?,2022-10-16 7:43:49,2022-10-19,SCAT,,,,,
